,university,career,inscription_date,first_name,last_name,gender,birth_date,age,location,email,postal_code
371,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2020-09-24,nan,sheila meyer,female,1930-08-18,92,favelli,dawnrivera@yahoo.com,5636
372,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020-11-08,nan,jasmine rojas,female,1993-04-23,29,general rodriguez,yvonne16@gmail.com,1748
373,universidad tecnológica nacional,diseño industrial,2020-10-17,nan,michael mcclure,male,1923-05-11,99,alvarez jonte,qburch@yahoo.com,1921
374,universidad tecnológica nacional,actuario ,2020-09-28,nan,dennis lawson,male,1907-01-17,115,el jaguel,nataliemcdaniel@hotmail.com,1842
375,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-12-07,nan,holly warren,female,1906-09-22,115,los frentones,mayerrhonda@yahoo.com,3712
376,universidad tecnológica nacional,farmacia,2020-10-27,nan,todd williams,male,1990-04-08,32,alto del saladillo,adampowers@hotmail.com,4500
377,universidad tecnológica nacional,ciencias veterinarias,2020-10-19,nan,donald zamora,male,1993-09-23,28,2 de julio,vbean@yahoo.com,3344
378,universidad tecnológica nacional,licenciatura en ciencias ambientales,2021-01-14,nan,christopher marsh,male,2016-08-18,6,9 de julio,hendersonmark@hotmail.com,3445
379,universidad tecnológica nacional,diseño de imagen y sonido,2020-10-10,nan,chelsea sullivan,female,1948-10-14,73,aguas calientes,treilly@gmail.com,4431
380,universidad tecnológica nacional,diseño de imagen y sonido,2020-09-04,nan,andrew thornton,male,1917-10-01,104,dho,tburns@yahoo.com,3070
381,universidad tecnológica nacional,ingeniería electrónica,2020-10-26,nan,steven williams,male,2012-09-24,9,aguada florencio,lisa08@hotmail.com,8340
382,universidad tecnológica nacional,actuario ,2021-01-18,nan,timothy taylor,male,1935-09-09,86,colonia zapata,wagnergloria@hotmail.com,5436
383,universidad tecnológica nacional,licenciatura en ciencias de la computación,2020-09-20,nan,kim schneider,female,1927-05-11,95,dina huapi,ewingbrandon@hotmail.com,8402
384,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2021-01-01,nan,david flores,male,1947-04-01,75,ingeniero balbin,diana35@hotmail.com,6051
385,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2021-01-20,nan,dawn richards,female,1998-09-19,23,angelica,claudiaarmstrong@yahoo.com,2303
386,universidad tecnológica nacional,licenciatura en musicoterapia,2020-09-17,nan,scott bell,male,1968-11-30,53,abasto,gbrown@gmail.com,1903
387,universidad tecnológica nacional,farmacia,2020-11-03,nan,adrian rodriguez,male,2008-09-23,13,cutral co,edwardturner@yahoo.com,8322
388,universidad tecnológica nacional,licenciatura en psicología,2021-01-08,nan,andrew becker,male,1934-01-31,88,alizal,kgibson@hotmail.com,4122
389,universidad tecnológica nacional,contador público ,2020-09-04,nan,michelle lang,female,1935-07-13,87,la chirlandia,scottanthony@gmail.com,8203
390,universidad tecnológica nacional,medicina,2020-09-01,nan,michael johnson,male,1991-11-22,30,cantera villalonga,vpage@yahoo.com,8504
391,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-09-23,nan,kelly hess,female,1910-01-28,112,colonia la gaviota,bryantpatricia@gmail.com,6354
392,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-09-28,nan,kristopher clements,male,1949-06-21,73,ingeniero thompson,jonestamara@gmail.com,6337
393,universidad tecnológica nacional,diseño de imagen y sonido,2020-09-24,nan,sergio ramos,male,1959-04-21,63,puesto de isla,smithwilliam@gmail.com,3487
394,universidad tecnológica nacional,licenciatura en ciencias ambientales,2020-11-29,nan,heather gonzalez,female,1998-03-09,24,arturo almaraz,cody79@gmail.com,6330
395,universidad tecnológica nacional,ingeniería electrónica,2020-10-13,nan,corey murray,male,1983-05-12,39,buena nueva,ashley32@hotmail.com,5523
396,universidad tecnológica nacional,técnico para bioterios ,2020-09-18,nan,gary watkins,male,1967-03-22,55,cameron,hollybrown@gmail.com,9017
397,universidad tecnológica nacional,licenciatura en musicoterapia,2020-09-11,nan,john wagner,male,1986-02-25,36,arroyo san juan,blakemary@yahoo.com,3409
398,universidad tecnológica nacional,licenciatura en ciencias biológicas,2020-12-11,nan,barbara sparks,female,1978-01-13,44,baradero,jason73@yahoo.com,2942
399,universidad tecnológica nacional,licenciatura en administración ,2020-10-16,nan,lisa frye,female,2015-04-02,7,alto del salvador,xmcdonald@yahoo.com,5570
400,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020-12-31,nan,christopher perkins,male,2016-06-27,6,juan vucetich ex dr r levene,andrewowen@gmail.com,1894
401,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020-10-26,nan,caleb page,male,1924-08-30,98,banda florida,johnathanbradley@gmail.com,5351
402,universidad tecnológica nacional,licenciatura en artes,2020-10-03,nan,james johnson,male,1952-11-11,69,carreras,shirleymedina@yahoo.com,2729
403,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-12-16,nan,alison scott,female,2000-10-19,21,la querencia,lphillips@hotmail.com,2912
404,universidad tecnológica nacional,licenciatura en administración ,2020-11-18,nan,laurie holmes,female,2005-09-27,16,cabreria,griffithtraci@gmail.com,4655
405,universidad tecnológica nacional,licenciatura en ciencias biológicas,2021-01-06,nan,erin caldwell,female,1942-10-18,79,aguapey,douglas95@gmail.com,3342
406,universidad tecnológica nacional,bioquímica,2021-01-31,nan,david garrett,male,2016-01-31,6,cerrillos al sud,christian47@yahoo.com,5501
407,universidad tecnológica nacional,licenciatura en ciencias ambientales,2021-01-08,nan,brittney hines,female,1968-10-15,53,alpachiri,justinroberts@gmail.com,4149
408,universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020-12-04,nan,brittany freeman,female,2002-04-09,20,san antonio de padua,glenn53@yahoo.com,1718
409,universidad tecnológica nacional,licenciatura en terapia ocupacional,2021-01-03,nan,rachel marsh,female,1950-09-15,71,wheelwright,chandlerjessica@hotmail.com,2722
410,universidad tecnológica nacional,licenciatura en ciencia política ,2020-09-16,nan,kelly daniels,male,1933-02-25,89,manuel ocampo,davidsonmichael@hotmail.com,2713
411,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2020-11-25,nan,angela chavez,female,1985-08-29,37,cabure,sandraparsons@hotmail.com,3371
412,universidad tecnológica nacional,ingeniería mecánica,2020-11-24,nan,susan powell dds,female,1941-07-06,81,achiras,jason10@yahoo.com,3246
413,universidad tecnológica nacional,diseño industrial,2020-12-25,nan,andrea martinez,female,1940-09-10,81,alcaraz norte,tonythompson@hotmail.com,3136
414,universidad tecnológica nacional,licenciatura en artes,2020-09-30,nan,chad logan,male,2000-08-02,22,baños lunlunta,robertswesley@hotmail.com,5507
415,universidad tecnológica nacional,licenciatura en ciencia política ,2020-10-02,nan,brandi wheeler,female,1987-07-12,35,cortines,tlong@gmail.com,6712
416,universidad tecnológica nacional,medicina,2020-12-11,nan,benjamin sampson,male,1946-03-05,76,paso telegrafo,amandakhan@gmail.com,3194
417,universidad tecnológica nacional,diseño de imagen y sonido,2020-10-16,nan,vickie jones,female,2018-10-20,3,bajo las tunas,xrodriguez@hotmail.com,3017
418,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2021-01-15,nan,dylan reyes,male,1969-03-19,53,algarrobo,eric32@hotmail.com,2935
419,universidad tecnológica nacional,ingeniería mecánica,2021-01-26,nan,ricky carlson,male,1985-06-01,37,barrio belgrano,janegibson@gmail.com,4146
420,universidad tecnológica nacional,ingeniería en informática,2021-01-23,nan,christopher henderson,male,1908-06-16,114,el hoyo,kristinapearson@yahoo.com,8431
421,universidad tecnológica nacional,ingeniería electrónica,2020-12-15,nan,adam bridges,male,1957-03-08,65,las hermanas,dennis12@hotmail.com,7412
422,universidad tecnológica nacional,farmacia,2020-09-19,nan,teresa gordon,female,1989-08-10,33,canal 15 cerro de la gloria,sgarrett@gmail.com,7114
423,universidad tecnológica nacional,técnico para bioterios ,2021-02-01,nan,james hansen,male,1942-04-01,80,garcia del rio,ryan91@gmail.com,8162
424,universidad tecnológica nacional,ingeniería electrónica,2021-01-18,nan,melissa dunn,female,1939-10-21,82,el pino,stacygraves@gmail.com,1907
425,universidad tecnológica nacional,licenciatura en sociología ,2021-01-05,nan,lawrence thomas,male,1933-10-12,88,paso de los andes,dking@hotmail.com,5503
426,universidad tecnológica nacional,licenciatura en psicología,2020-12-08,nan,johnny thomas,male,1950-02-11,72,gente grande,abaker@hotmail.com,8379
427,universidad tecnológica nacional,ingeniería electrónica,2020-11-22,nan,megan alvarez,female,1943-08-31,79,campana,tom37@gmail.com,2804
428,universidad tecnológica nacional,medicina,2020-12-22,nan,lindsay smith,female,1981-07-06,41,caracoles,hooperpatrick@hotmail.com,5557
429,universidad tecnológica nacional,agronomía,2020-11-06,nan,angel nelson,female,1935-01-10,87,banfield,floresedwin@hotmail.com,1828
430,universidad tecnológica nacional,diseño de imagen y sonido,2020-12-11,nan,felicia harris,female,1931-08-29,91,colonia belgrano,briana28@hotmail.com,2257
431,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020-10-07,nan,cameron taylor,male,2016-10-09,5,barrio chapadmalal,terrance51@gmail.com,7605
432,universidad tecnológica nacional,licenciatura en ciencias de la computación,2020-10-24,nan,charles hess,male,1973-01-19,49,antonio tomas,ryanbrown@yahoo.com,3125
433,universidad tecnológica nacional,licenciatura en psicología,2021-01-03,nan,kristine martinez,female,1924-07-07,98,arroyo palmar,kellerrobin@gmail.com,3218
434,universidad tecnológica nacional,ingeniería mecánica,2021-01-21,nan,danielle edwards,female,1922-01-21,100,colhue huapi,shill@yahoo.com,9021
435,universidad tecnológica nacional,técnico para bioterios ,2021-01-01,nan,angela hill,female,1953-12-08,68,colonia monte la plata,lisasolomon@gmail.com,8144
436,universidad tecnológica nacional,ingeniería mecánica,2020-12-15,nan,alexander mathews,male,1959-01-19,63,22 de mayo,brownjohn@gmail.com,2124
437,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020-10-31,nan,gerald white,male,1980-06-26,42,el carbalino,jessica69@hotmail.com,5592
438,universidad tecnológica nacional,actuario ,2020-09-28,nan,sarah ramirez,female,1916-04-28,106,estancia las gamas,moorejeffrey@gmail.com,2723
439,universidad tecnológica nacional,licenciatura en artes,2020-12-02,nan,joshua rogers,male,1944-08-13,78,el bombero,taylorjohnson@gmail.com,7507
440,universidad tecnológica nacional,medicina,2020-10-15,nan,steven strickland,male,2021-02-07,1,alcaraz sud,whitney32@yahoo.com,3137
441,universidad tecnológica nacional,ingeniería electrónica,2020-10-05,nan,george walsh,male,1945-02-23,77,el gualicho,xchavez@hotmail.com,7200
442,universidad tecnológica nacional,agronomía,2021-01-05,nan,mark herman,male,1962-09-18,59,arroyo molino,martinashley@gmail.com,3260
443,universidad tecnológica nacional,licenciatura en ciencias de la educación ,2021-01-18,nan,michael thompson,male,1952-08-17,70,angaco norte,ortegadawn@yahoo.com,5415
444,universidad tecnológica nacional,licenciatura en artes,2020-09-16,nan,kristen parker,female,1920-06-22,102,barrancon,simmonsthomas@gmail.com,3384
445,universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020-11-17,nan,nicole nelson,female,1983-07-16,39,villa eloisa,douglasandrews@gmail.com,2503
446,universidad tecnológica nacional,medicina,2021-01-12,nan,thomas oliver,male,1998-03-18,24,aero club rosario,amylong@hotmail.com,2132
447,universidad tecnológica nacional,arquitectura,2020-10-29,nan,heather brady,female,1906-03-05,116,juan f ibarra,maurice76@gmail.com,6551
448,universidad tecnológica nacional,licenciatura en ciencias biológicas,2020-11-08,nan,shane logan,male,1939-10-03,82,alejandra,nferrell@hotmail.com,3051
449,universidad tecnológica nacional,licenciatura en psicología,2020-12-17,nan,deborah mccoy,female,2014-05-11,8,bathurst estacion,robertsjessica@hotmail.com,7540
450,universidad tecnológica nacional,licenciatura en ciencia política ,2020-09-01,nan,wendy barnes,female,1953-04-30,69,la isabel,valenciaholly@gmail.com,5743
451,universidad tecnológica nacional,licenciatura en ciencias biológicas,2020-11-04,nan,cindy barron,female,1915-08-06,107,estacion mazan,wagnerjohn@gmail.com,5313
452,universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020-11-02,nan,paul cox,male,1960-06-13,62,alcete,brianingram@yahoo.com,3127
453,universidad tecnológica nacional,contador público ,2020-10-13,nan,samantha rose,female,2007-11-28,14,la ribera,amanda07@gmail.com,5734
454,universidad tecnológica nacional,licenciatura en psicología,2021-01-03,nan,lawrence barrera,male,1998-09-30,23,iraola,tinapark@hotmail.com,7009
455,universidad tecnológica nacional,licenciatura en ciencia política ,2020-09-20,nan,melanie hall,female,1937-03-16,85,lavalle,raymondchristopher@gmail.com,5343
456,universidad tecnológica nacional,diseño de imagen y sonido,2020-09-29,nan,robert walls,male,2012-02-24,10,campo coubert,eric06@yahoo.com,3056
457,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2020-09-24,nan,patricia wagner,female,1989-08-07,33,4 de febrero,gibbsdavid@gmail.com,2732
458,universidad tecnológica nacional,arquitectura,2020-11-12,nan,scott bennett,male,1977-11-03,44,gaboto,kennethgarcia@yahoo.com,2208
459,universidad tecnológica nacional,ingeniería mecánica,2021-01-14,nan,allen weber,male,1943-11-06,78,argerich,yruiz@gmail.com,8134
460,universidad tecnológica nacional,actuario ,2020-12-09,nan,valerie west,female,1986-05-21,36,chiclana,iwatson@gmail.com,6476
461,universidad tecnológica nacional,licenciatura en ciencias biológicas,2021-01-29,nan,mackenzie martinez,female,1981-04-23,41,dos hermanos,hollypollard@yahoo.com,6042
462,universidad tecnológica nacional,licenciatura en ciencias de la computación,2020-12-02,nan,angelica webster,female,1916-04-20,106,agua botada,morganrachel@yahoo.com,5613
463,universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020-12-09,nan,grace kirby,female,1924-02-15,98,abra rica,becky42@hotmail.com,4178
464,universidad tecnológica nacional,diseño industrial,2021-01-27,nan,alicia hill,female,2012-03-18,10,2 de mayo,jenniferwillis@yahoo.com,3364
465,universidad tecnológica nacional,licenciatura en psicología,2020-12-30,nan,matthew johnson,male,1941-08-11,81,huanguelen,xroberts@hotmail.com,7545
466,universidad tecnológica nacional,licenciatura en ciencia política ,2020-12-01,nan,brian ali,male,1952-06-15,70,algarrobitos 1ro,jrodriguez@yahoo.com,3150
467,universidad tecnológica nacional,licenciatura en administración ,2021-01-30,nan,john bryant,male,1970-05-03,52,ingeniero beaugey,maryavila@gmail.com,6457
468,universidad tecnológica nacional,licenciatura en ciencias biológicas,2020-10-23,nan,jason morrison,male,1931-02-12,91,campo largo,teresawallace@gmail.com,3716
469,universidad tecnológica nacional,licenciatura en artes,2021-01-25,nan,brian thomas,male,1985-05-21,37,el alto,hallen@yahoo.com,5577
470,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2021-01-27,nan,sara hayes,female,1916-05-05,106,adolfo rodriguez saa,aromero@gmail.com,5777
471,universidad tecnológica nacional,medicina,2020-11-15,nan,michael robertson,male,1944-04-10,78,san mayol,moraneric@yahoo.com,7519
472,universidad tecnológica nacional,licenciatura en terapia ocupacional,2020-10-24,nan,patrick stephenson dvm,male,1964-10-18,57,capitan castro,hbrown@gmail.com,6461
473,universidad tecnológica nacional,contador público ,2020-10-13,nan,paul jordan,male,1978-12-16,43,chanilao,amarshall@gmail.com,6201
474,universidad tecnológica nacional,contador público ,2020-11-14,nan,eric rogers,male,1917-10-26,104,cerrillos al sud,kaylee84@yahoo.com,5501
475,universidad tecnológica nacional,licenciatura en ciencias ambientales,2021-01-23,nan,kathryn lucas,female,1969-08-10,53,langueyu,elizabeth86@yahoo.com,7151
476,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-12-15,nan,kathryn smith,female,1959-11-25,62,cavour,pam05@gmail.com,3081
477,universidad tecnológica nacional,diseño de imagen y sonido,2020-09-01,nan,megan henderson,female,1955-12-18,66,la california,david80@gmail.com,2520
478,universidad tecnológica nacional,diseño de imagen y sonido,2020-12-06,nan,sean clements,male,1968-07-06,54,barrio emir ramon juarez,qmorrison@gmail.com,7600
479,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-12-23,nan,matthew taylor,male,2019-04-08,3,arroyo canelon,krobinson@hotmail.com,1625
480,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020-12-17,nan,richard neal,male,1973-06-14,49,abra,smartinez@gmail.com,3414
481,universidad tecnológica nacional,contador público ,2020-10-24,nan,hannah pena,female,1911-01-14,111,9 de julio,rmejia@yahoo.com,3445
482,universidad tecnológica nacional,contador público ,2020-12-07,nan,anthony gill,male,1909-04-05,113,el araza,woodmary@hotmail.com,7249
483,universidad tecnológica nacional,ingeniería mecánica,2020-12-01,nan,lisa brown,female,1967-05-24,55,chancay,jacobramos@gmail.com,6017
484,universidad tecnológica nacional,licenciatura en ciencias ambientales,2020-09-25,nan,kim miller,female,1978-02-05,44,caraguatay,ldillon@gmail.com,3386
485,universidad tecnológica nacional,licenciatura en musicoterapia,2020-10-26,nan,david cole,male,1936-03-20,86,blaquier,robert51@gmail.com,6065
486,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020-12-15,nan,benjamin mitchell,male,2018-10-28,3,10 de mayo,mcculloughjodi@hotmail.com,3705
487,universidad tecnológica nacional,ingeniería electrónica,2020-11-29,nan,danielle harris,female,2005-12-30,16,alejandra,vincentnicholas@hotmail.com,3051
488,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2020-10-29,nan,russell paul,male,1990-01-03,32,25 de mayo,xhancock@yahoo.com,3363
489,universidad tecnológica nacional,diseño industrial,2020-09-16,nan,elizabeth smith,female,1939-04-17,83,colonia clara,amandacharles@gmail.com,3025
490,universidad tecnológica nacional,licenciatura en psicología,2021-01-15,nan,caleb adams,male,2020-05-30,2,agua del simbol,dcollins@gmail.com,5261
491,universidad tecnológica nacional,ingeniería en informática,2020-11-05,nan,brian howell,male,1958-03-24,64,angaco norte,jamesallen@gmail.com,5415
492,universidad tecnológica nacional,licenciatura en ciencia política ,2020-10-09,nan,robert douglas,male,1921-08-16,101,aldea san gregorio,katherine08@gmail.com,3287
493,universidad tecnológica nacional,ingeniería electrónica,2020-09-07,nan,tyler robinson,male,1966-03-08,56,arroyo canelon,westrebecca@gmail.com,1625
494,universidad tecnológica nacional,licenciatura en ciencia política ,2020-09-30,nan,steven matthews,male,1950-07-15,72,colonia mackinlay,graydaniel@gmail.com,2347
495,universidad tecnológica nacional,medicina,2020-12-11,nan,christina gibson,female,1953-08-27,69,aguapey,yfoley@gmail.com,3342
496,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-12-15,nan,stacey khan,female,2013-02-02,9,9 de julio kilometro 20,heidi38@yahoo.com,3380
497,universidad tecnológica nacional,ciencias veterinarias,2021-01-31,nan,daniel kim,male,1990-05-06,32,centro comunitario cnia nue,qconway@gmail.com,3118
498,universidad tecnológica nacional,licenciatura en musicoterapia,2020-12-22,nan,keith roman,male,2005-12-25,16,alcaraz 1ro,oscarchoi@yahoo.com,3144
499,universidad tecnológica nacional,bioquímica,2020-11-05,nan,joshua harris,male,1928-04-30,94,almacen castro,nmccarthy@gmail.com,2751
500,universidad tecnológica nacional,licenciatura en ciencia política ,2020-10-14,nan,catherine kelley,female,1992-03-04,30,avena,lawsonjoshua@gmail.com,2449
501,universidad tecnológica nacional,licenciatura en ciencias de la computación,2021-01-05,nan,jordan nguyen,female,2002-08-28,20,cabo san fermin,richardsonamanda@gmail.com,2703
502,universidad tecnológica nacional,licenciatura en ciencias ambientales,2020-09-09,nan,leonard campbell,male,1958-10-16,63,colonia beaufort,maryfox@gmail.com,6331
503,universidad tecnológica nacional,diseño industrial,2021-01-27,nan,eric stout,male,2002-08-23,20,la pelada,alexandria72@hotmail.com,3027
504,universidad tecnológica nacional,diseño de imagen y sonido,2020-11-17,nan,david miller,male,2008-06-14,14,10 de mayo,jeffreykelley@hotmail.com,3705
505,universidad tecnológica nacional,licenciatura en ciencias de la computación,2021-01-03,nan,dr. brandon frye dds,male,2015-03-05,7,atencio,butlersarah@hotmail.com,3187
506,universidad tecnológica nacional,licenciatura en musicoterapia,2020-11-21,nan,daniel warner md,male,1965-04-05,57,empalme frontera,starkstacey@gmail.com,5553
507,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020-11-15,nan,daniel smith,male,1933-05-19,89,cushamen,jennifer24@yahoo.com,9211
508,universidad tecnológica nacional,licenciatura en ciencias ambientales,2020-12-17,nan,aaron hansen,male,1907-10-25,114,alejandro petion,michaelmacdonald@yahoo.com,1808
509,universidad tecnológica nacional,licenciatura en ciencias de la educación ,2021-01-27,nan,linda bryant,female,2004-12-02,17,batelito,lacey88@hotmail.com,3451
510,universidad tecnológica nacional,contador público ,2020-12-22,nan,rebecca hooper,female,1929-01-20,93,casira,john66@gmail.com,4653
511,universidad tecnológica nacional,contador público ,2020-10-06,nan,brooke bailey,female,1995-06-20,27,cerana,udaniels@gmail.com,2202
512,universidad tecnológica nacional,licenciatura en ciencia política ,2020-11-14,nan,brian lopez,male,1971-10-01,50,alto grande,kennethgreen@yahoo.com,5572
513,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2021-02-01,nan,eric shaw,male,1930-01-23,92,doctor domingo harosteguy,lporter@yahoo.com,7212
514,universidad tecnológica nacional,contador público ,2021-01-07,nan,mark jones,male,2016-12-20,5,coronel granada,william23@gmail.com,6062
515,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2021-01-04,nan,richard livingston,male,1925-08-14,97,ampata,reiddarren@gmail.com,4174
516,universidad tecnológica nacional,agronomía,2020-12-22,nan,larry taylor,male,1995-02-17,27,arroyo las minas,ystevens@yahoo.com,8415
517,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-11-19,nan,jennifer hardin,female,1944-01-30,78,colpes,imcdowell@gmail.com,5319
518,universidad tecnológica nacional,técnico para bioterios ,2020-11-26,nan,thomas gillespie,male,2019-08-18,3,capitan montoya,fordkathy@hotmail.com,5601
519,universidad tecnológica nacional,bioquímica,2020-09-16,nan,mary harris,female,1943-10-15,78,centenario,daniel90@gmail.com,8309
520,universidad tecnológica nacional,agronomía,2020-10-18,nan,daniel macias,male,1913-09-27,108,bernal este,michaelmckay@gmail.com,1876
521,universidad tecnológica nacional,licenciatura en terapia ocupacional,2021-01-08,nan,melanie wilkins,female,1924-10-24,97,alberto flores,jacobsonpamela@yahoo.com,5582
522,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020-11-19,nan,andre lewis,male,1943-02-02,79,anasagasti,kking@yahoo.com,6607
523,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020-12-21,nan,carlos downs,male,1907-12-02,114,colonia valdez,fsanchez@yahoo.com,2115
524,universidad tecnológica nacional,técnico para bioterios ,2020-09-22,nan,lori collins,female,1955-12-03,66,bañadito viejo,morenowendy@yahoo.com,5709
525,universidad tecnológica nacional,diseño industrial,2021-01-18,nan,joshua lawrence,male,1972-04-05,50,algarrobo,sarahpeterson@yahoo.com,2935
526,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020-09-09,nan,joel garcia,male,1976-12-09,45,colonia hardy,stevensalexander@hotmail.com,3592
527,universidad tecnológica nacional,ingeniería electrónica,2020-11-27,nan,elizabeth smith,female,1918-07-03,104,paso telegrafo,wilkinsonjoseph@gmail.com,3194
528,universidad tecnológica nacional,diseño de imagen y sonido,2020-09-02,nan,jessica parsons,female,1925-04-05,97,alto de las arañas,moralesivan@hotmail.com,5519
529,universidad tecnológica nacional,licenciatura en musicoterapia,2021-01-05,nan,wesley bradley,male,2005-01-08,17,colonia el simbol,amy91@hotmail.com,3074
530,universidad tecnológica nacional,licenciatura en ciencia política ,2020-10-10,nan,brandi evans,female,2010-05-24,12,el guanaco,petersonnicole@gmail.com,6205
531,universidad tecnológica nacional,licenciatura en ciencias ambientales,2020-10-10,nan,david lawrence,male,1967-10-24,54,arroyo corralito,wolfjenny@yahoo.com,3122
532,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-12-08,nan,john vasquez,male,2005-05-16,17,colonia adolfo alsina,christopher64@yahoo.com,3029
533,universidad tecnológica nacional,licenciatura en ciencia política ,2020-09-18,nan,chelsea ray,female,1960-11-22,61,basail,whitesean@yahoo.com,3516
534,universidad tecnológica nacional,diseño de imagen y sonido,2020-10-15,nan,taylor bennett,female,1992-01-02,30,campo la lima,matthewsmary@gmail.com,8150
535,universidad tecnológica nacional,licenciatura en sociología ,2020-10-16,nan,summer klein,female,2000-07-20,22,campo del norte americano,chadcummings@gmail.com,8185
536,universidad tecnológica nacional,medicina,2020-10-22,nan,john ford,male,1958-01-19,64,el potrero,elizabeth32@yahoo.com,5321
537,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2020-11-20,nan,kathryn jones,female,2019-05-30,3,abipones,tmorton@gmail.com,3042
538,universidad tecnológica nacional,técnico para bioterios ,2020-11-09,nan,katelyn alexander,female,2010-02-12,12,aconquija,timothy89@gmail.com,4107
539,universidad tecnológica nacional,contador público ,2020-09-11,nan,brian mason,male,1974-09-10,47,colonia los sauces,mwolf@gmail.com,3200
540,universidad tecnológica nacional,diseño de imagen y sonido,2020-10-26,nan,janice lara,female,1936-04-01,86,atreuco,alijulie@yahoo.com,6305
541,universidad tecnológica nacional,ingeniería en informática,2020-11-15,nan,donald eaton,male,1976-11-07,45,17 de agosto,thomasamber@hotmail.com,3338
542,universidad tecnológica nacional,agronomía,2020-10-20,nan,ronald baldwin,male,1994-09-06,27,banda varela,smontgomery@yahoo.com,4700
543,universidad tecnológica nacional,licenciatura en ciencias biológicas,2020-09-23,nan,cheryl smith,female,1961-07-04,61,canning,jeffreykrause@gmail.com,1804
544,universidad tecnológica nacional,farmacia,2020-10-04,nan,kyle sellers,male,1958-08-25,64,9 de abril,oashley@gmail.com,1776
545,universidad tecnológica nacional,técnico para bioterios ,2020-11-30,nan,andrew martin md,male,1923-02-03,99,estacion christophersen,johnhodges@yahoo.com,2611
546,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-09-18,nan,brianna harrison,female,1922-02-13,100,chivilcoy,samantha49@gmail.com,5571
547,universidad tecnológica nacional,licenciatura en artes,2020-10-28,nan,anthony shah,male,2020-09-06,1,kilometro 125,fgilmore@yahoo.com,6600
548,universidad tecnológica nacional,licenciatura en artes,2020-10-15,nan,ryan hernandez,male,1912-06-07,110,banda florida,leblancrachel@gmail.com,5351
549,universidad tecnológica nacional,ciencias veterinarias,2020-10-02,nan,michael knight,male,2002-04-04,20,comodoro rivadavia,bhancock@gmail.com,9000
550,universidad tecnológica nacional,licenciatura en ciencias ambientales,2021-01-23,nan,katie hall,female,2007-04-30,15,costa del este,swebb@yahoo.com,7108
551,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2020-09-01,nan,nicole herrera,female,1973-04-23,49,jose leon suarez,gordonhale@yahoo.com,1655
552,universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020-11-04,nan,albert mueller,male,1943-11-04,78,arrayanal,heather84@gmail.com,4503
553,universidad tecnológica nacional,diseño industrial,2020-11-10,nan,tom boyd iii,male,1939-07-18,83,balsa,fanderson@yahoo.com,6070
554,universidad tecnológica nacional,arquitectura,2021-01-26,nan,anna maynard,female,1960-12-20,61,el trebol,glee@hotmail.com,2535
555,universidad tecnológica nacional,licenciatura en ciencia política ,2020-10-05,nan,michael vaughn,male,1935-04-21,87,el sombrerito,annamcdowell@gmail.com,3585
556,universidad tecnológica nacional,licenciatura en ciencias biológicas,2021-01-21,nan,jonathan steele,male,1937-12-22,84,barrio el tontal,andreewing@yahoo.com,5401
